GET    /v1/catalogos | operationId=obterTodosRegistros_10 | params=statusAtivo[query]:boolean
GET    /v1/modalidade-criterio-julgamento/{modalidadeId}/{criterioJulgamentoId} | operationId=obterModalidadeCriterioJulgamento | params=modalidadeId[path]*:integer, criterioJulgamentoId[path]*:integer
GET    /v1/modalidade-fonte-orcamentaria | operationId=obterFonteOrcamentariaPorModalidade | params=modalidadeId[query]:integer, fonteOrcamentariaId[query]:integer
POST   /v1/modalidade-fonte-orcamentaria | operationId=incluirModalidadeFonteOrcamentaria | params=
DELETE /v1/modalidade-fonte-orcamentaria/{modalidadeId}/{fonteOrcamentariaId} | operationId=excluirModalidadeFonteOrcamentaria | params=modalidadeId[path]*:integer, fonteOrcamentariaId[path]*:integer
GET    /v1/modalidade-fonte-orcamentaria/{modalidadeId}/{fonteOrcamentariaId} | operationId=obterModalidadeFonteOrcamentaria | params=modalidadeId[path]*:integer, fonteOrcamentariaId[path]*:integer
GET    /v1/modalidades | operationId=obterTodosRegistros_6 | params=statusAtivo[query]:boolean
POST   /v1/modalidades | operationId=incluirRegistro_7 | params=
GET    /v1/modalidades/{id} | operationId=obterRegistro_8 | params=id[path]*:integer
PATCH  /v1/modalidades/{id} | operationId=alterarParcialmenteRegistro_6 | params=id[path]*:integer
POST   /v1/orgaos | operationId=postEnteGoverno | params=
PUT    /v1/orgaos | operationId=putEnteGoverno | params=
GET    /v1/orgaos/ | operationId=consultarEntesPorFiltro | params=razaoSocial[query]*:string, pagina[query]:integer
GET    /v1/orgaos/id/{orgaoId} | operationId=recuperarEnte_1 | params=orgaoId[path]*:integer
GET    /v1/orgaos/{cnpj} | operationId=recuperarEnte | params=cnpj[path]*:string
POST   /v1/orgaos/{cnpj}/compras | operationId=incluirCompra | params=cnpj[path]*:string, Titulo-Documento[header]*:string, Tipo-Documento-Id[header]*:integer
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas | operationId=recuperarAtasPorFiltros | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
POST   /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas | operationId=inserirAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, Titulo-Documento[header]*:string, Tipo-Documento-Id[header]*:integer
DELETE /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta} | operationId=deleteAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta} | operationId=recuperarAtaRegistoPreco | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer
PATCH  /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta} | operationId=retificarParcialmenteAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer
PUT    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta} | operationId=retificarAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/arquivos | operationId=recuperarInformacoesDocumentosAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
POST   /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/arquivos | operationId=inserirArquivo_3 | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, Titulo-Documento[header]*:string, Tipo-Documento[header]*:string
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/arquivos/excluidos/{sequencialDocumento} | operationId=recuperarArquivo_5 | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/arquivos/quantidade | operationId=recuperarAtaDocumentoQuantidade | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer
DELETE /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/arquivos/{sequencialDocumento} | operationId=deleteDocumentoAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, sequencialDocumento[path]*:integer
